lng,lat
121.5966937,25.0841187
121.613362,25.067646
121.617991,25.068482
121.6164017,25.0768166
121.567924,25.084433
121.6094565,25.0717365
121.557261,25.086639
121.592872,25.079692
121.562107,25.088436
121.5731996,25.0817753
121.6200803,25.0758715
121.568752,25.0845299
121.5800072,25.0823303
121.5916654,25.0606368
121.589375,25.078614
121.590586,25.0826419
121.568416,25.0811928
121.591354,25.085555
121.613584,25.068056
121.578991,25.084239
121.6002452,25.0665754
121.6205993,25.0739186
121.588932,25.07884
121.57909,25.081717
121.5705872,25.0822174
121.5760173,25.0562725
121.5636896,25.0836526
121.574028,25.080792
121.596161,25.082756
121.5825605,25.0799047
121.5808056,25.083408
121.5766436,25.0799873
121.590239,25.0858929
121.5885067,25.0783009
121.5891373,25.0591857
121.5961475,25.0810869
121.6220299,25.0770603
121.5928387,25.0883717
121.5737066,25.0841778
121.5966632,25.0651549
121.5947719,25.0841938
121.5965295,25.0681948
121.5899825,25.0882725
121.5841162,25.077145
121.568195,25.086755
121.582906,25.075781
121.560885,25.091171
121.608267,25.075264
121.586091,25.068601
121.5616232,25.0850402
121.577031,25.077849
121.5922272,25.0851811
121.616772,25.068788
121.617022,25.074844
121.586501,25.076212
121.595602,25.0777009
121.5711212,25.0866852
121.5950918,25.0787386
121.5913208,25.066406
121.5916977,25.0600262
121.56003,25.0884167
121.568416,25.0811928
121.589451,25.071185
121.5912133,25.0822526
121.561127,25.091142
121.5828171,25.0769501
121.6133845,25.0665913
121.5894318,25.0688095
121.6169968,25.0711498
121.5603042,25.0851232
121.580611,25.054496
121.591578,25.0794249
121.5762091,25.0843551
121.5755975,25.0803031
121.5852712,25.0825151
121.585402,25.075843
121.579904,25.076348
121.591035,25.080558
121.5676193,25.0851269
121.6077536,25.0694495
121.5673752,25.0827541
121.564343,25.077592
121.591928,25.085893
121.61496,25.067432
121.5799557,25.0579329
121.577328,25.080367
121.5838169,25.0569529
121.6036149,25.0730032
121.5861611,25.0612153
121.5845318,25.0904961
121.5895012,25.0675909
121.591259,25.0829079
121.5897217,25.0711861
121.5849286,25.0605263
121.5970003,25.0838457
121.5669394,25.0823777
121.6143036,25.0682011
121.6208801,25.0761986
121.5696716,25.084938
121.5840575,25.07714
121.5961475,25.0810869
121.5968815,25.0669133
121.6183197,25.0696088
121.5828234,25.0588146
121.5572405,25.0866289
121.6210395,25.0752973
121.5811658,25.0840248
121.5812087,25.0543261
121.5836401,25.0598858
121.5755975,25.0803031
121.60275,25.073909
121.5772194,25.0949034
121.597038,25.081211
121.5929461,25.0835
121.5860877,25.0621068
121.588433,25.070246
121.5772194,25.0949034
121.5753508,25.0830919
121.5932039,25.0927234
121.5929461,25.0835
121.5838419,25.0771346
121.5928246,25.0792859
121.60275,25.073909
121.6129062,25.070613
121.586501,25.076212
121.5842193,25.0594259
121.6177082,25.0732372
121.6081473,25.0670771
121.5908677,25.0827352
121.585918,25.068625
121.5961703,25.0677769
121.6199029,25.0757949
121.5795745,25.0541667
121.5996408,25.0673299
121.5765953,25.0754347
121.5841428,25.0592792
121.6133108,25.0765881
121.609793,25.071223
121.588399,25.07762
121.5844172,25.0599373
121.5657018,25.0838154
121.582153,25.075184
121.6024627,25.0867054
121.5493265,25.0767595
121.5929736,25.0884899
121.5967655,25.0820425
121.5844172,25.0599373
121.58628,25.060666
121.5964508,25.0641241
121.6194583,25.0696533
121.583952,25.056906
121.6122911,25.0710609
121.5923238,25.0654542
121.616401,25.071909
121.5920384,25.0707148
121.5987556,25.0824135
121.584536,25.0764617
121.579716,25.0784741
121.6008648,25.0679671
121.5808054,25.0591134
121.5870678,25.0780326
121.5844172,25.0599373
121.5976024,25.0810805
121.5922775,25.0835762
121.5789771,25.0549413
121.5793113,25.0571003
121.5810486,25.0818942
121.6024946,25.0736476
121.6193608,25.0736186
121.5605188,25.0851348
121.5855646,25.0638507
121.5959779,25.0817071
121.583005,25.0593733
121.613285,25.067655
121.5963009,25.0639742
121.585379,25.061128
121.6183197,25.0696088
121.5783997,25.0834408
121.59037,25.08221
121.5861011,25.0627039
121.5853608,25.0607796
121.59037,25.08221
121.5753561,25.0761197
121.5985301,25.0685617
121.5814247,25.0840271
121.5785001,25.0617089
121.5948129,25.0829559
121.5745087,25.0790647
121.5749393,25.0559612
0.0814962,0.0639009
0.0472344,0.0472344
121.589686,25.074172
121.5950492,25.0799559
121.5828018,25.0781879
121.614108,25.067999
121.5572405,25.0866289
121.5852169,25.0771426
121.5937185,25.0839567
121.592516,25.084056
121.5930714,25.0843701
121.592554,25.080865
121.5741706,25.080993
121.579259,25.0770104
121.5928756,25.083402
121.5887189,25.0835583
121.5600119,25.0899955
121.5827299,25.0583179
121.572085,25.081265
121.5854734,25.0890338
121.5983289,25.0800579
121.59037,25.08221
121.6016278,25.0847935
121.583952,25.056906
121.5842327,25.0755087
121.578582,25.084035
121.612227,25.071832
121.5999841,25.0661382
121.6076607,25.0749196
121.5900922,25.0685544
121.5984178,25.0740353
121.5983963,25.0739964
121.5898991,25.0689042
121.590743,25.078349
121.5973282,25.0799751
121.587246,25.0771167
121.587272,25.07716
121.5787527,25.0799078
121.5729675,25.085556
121.5677643,25.0829048
121.5785608,25.0793393
121.5781097,25.0761108
121.5705872,25.0822174
121.5934771,25.0841219
121.6026312,25.0689748
121.6091561,25.0734651
121.5853608,25.0607796
121.600784,25.085806
121.591848,25.085885
121.6122911,25.0710609
121.6121936,25.0709256
121.5842657,25.0608931
121.6169106,25.0690097
121.6052993,25.0838261
121.6098289,25.0723794
121.605294,25.0834259
121.5977045,25.0829815
121.5831501,25.0796981
121.5789771,25.0549413
121.6185021,25.0693124
121.5709573,25.0842871
121.616898,25.075192
121.5977821,25.0793775
121.5977821,25.0793775
121.6096616,25.0725971
121.596021,25.084495
121.5950041,25.0945236
121.5747528,25.0808697
121.5856223,25.0605774
121.590865,25.0815103
121.616506,25.070845
121.614651,25.068503
121.561179,25.08467
121.5850939,25.0613396
121.561179,25.08467
121.5936281,25.085127
121.5960345,25.0678384
121.5858296,25.0893506
121.5762935,25.0565124
121.5862154,25.0897758
121.580175,25.078826
121.5985301,25.0685617
121.596477,25.079413
121.5863597,25.0632684
121.5870881,25.0878338
121.576251,25.076107
121.5861569,25.0780826
121.609197,25.070087
121.5763483,25.0573713
121.591441,25.081069
121.591441,25.081069
121.591441,25.081069
121.585455,25.07594
121.5827408,25.0559082
121.5903444,25.0834884
121.5720737,25.0835674
121.5827044,25.0582194
121.614097,25.068235
121.5790985,25.0568875
121.5799305,25.0670245
121.5855712,25.0604783
121.5985301,25.0685617
121.5642777,25.0837567
121.557106,25.0863132
121.580008,25.076412
0.0578286,0.0578286
121.58877,25.087797
121.580877,25.058666
121.5934771,25.0841219
121.5637492,25.0834402
121.5896331,25.0820361
121.5848665,25.0788446
121.5900922,25.0685544
121.5927429,25.0788746
121.58628,25.060666
121.57913,25.05491
121.5963162,25.0812556
121.5930126,25.0788066
121.5922772,25.0831232
121.5967162,25.066748
121.5700513,25.0836169
121.5626311,25.0833558
121.591157,25.070339
121.6200234,25.0718419
121.5918195,25.0704397
121.5905991,25.0675468
121.5902907,25.0688896
121.589853,25.0599014
121.5637704,25.0834614
121.5687866,25.0850067
121.5902907,25.0688896
121.5960681,25.0813451
121.580934,25.083089
121.5783768,25.0717926
121.5934771,25.0841219
121.5814247,25.0840271
121.582788,25.076907
121.60817,25.075352
121.5963564,25.0812958
121.5945166,25.0850867
121.5802724,25.0822811
121.5798422,25.0558064
121.5934762,25.0690602
121.5903576,25.0689207
121.6075229,25.0662863
121.5611222,25.0856448
121.6149677,25.0686709
121.5930087,25.0788027
121.5955461,25.0801801
121.6039753,25.07215
121.6056919,25.0717613
121.6089706,25.0693054
121.5576893,25.0876591
121.6161583,25.0756614
121.5975487,25.0807792
121.5844172,25.0599373
121.56746,25.085581
121.610952,25.073483
121.5974102,25.0831394
121.5571823,25.0866318
121.613245,25.0690014
121.5799496,25.0670436
121.5832083,25.076928
121.6147232,25.0684929
121.5897217,25.0815617
121.562006,25.088292
121.5798047,25.0832027
121.5772805,25.0770885
121.5688416,25.082578
121.5825793,25.0752133
121.5748272,25.0826721
121.5698624,25.0819035
121.5869675,25.0879135
121.5810324,25.0789024
121.5647201,25.080797
121.5770204,25.0836656
121.5602183,25.0850024
121.5905908,25.0684184
121.5912895,25.0826109
121.5856795,25.0763931
121.6149677,25.0686709
121.5838419,25.0771346
121.561936,25.0852809
121.612258,25.0703425
121.6125584,25.0675242
